.smooth,.type,.by,.estimate,.se,active_burrows,block,year,month,adj_est
s(active_burrows),TPRS,NA,-0.015114951559530791,0.012235131947194531,338.24242424242425,NA,NA,NA,0.3404406039960248
s(active_burrows),TPRS,NA,-0.01779958858264409,0.012337068046850806,342.3030303030303,NA,NA,NA,0.33775596697291155
s(active_burrows),TPRS,NA,-0.02052583226041408,0.012467875444084661,346.3636363636364,NA,NA,NA,0.3350297232951415
s(active_burrows),TPRS,NA,-0.023292791773458502,0.01262313748158354,350.42424242424244,NA,NA,NA,0.3322627637820971
s(active_burrows),TPRS,NA,-0.026099465279769907,0.012794211238963326,354.4848484848485,NA,NA,NA,0.3294560902757857
s(active_burrows),TPRS,NA,-0.028943957588152255,0.012976211300839556,358.54545454545456,NA,NA,NA,0.32661159796740336
s(active_burrows),TPRS,NA,-0.03182389875465166,0.013169482469819303,362.6060606060606,NA,NA,NA,0.323731656800904
s(active_burrows),TPRS,NA,-0.0347369118471648,0.013376539856773045,366.6666666666667,NA,NA,NA,0.3208186437083908
s(active_burrows),TPRS,NA,-0.03768061993358852,0.013600911290744545,370.72727272727275,NA,NA,NA,0.3178749356219671
s(active_burrows),TPRS,NA,-0.040652646081819566,0.01384623002478391,374.7878787878788,NA,NA,NA,0.31490290947373606
s(active_burrows),TPRS,NA,-0.0436506133597545,0.014115534060078106,378.8484848484849,NA,NA,NA,0.3119049421958011
s(active_burrows),TPRS,NA,-0.0466721448352907,0.014410770271725246,382.9090909090909,NA,NA,NA,0.30888341072026493
s(active_burrows),TPRS,NA,-0.04971486357632438,0.014732500092118345,386.96969696969694,NA,NA,NA,0.30584069197923125
s(active_burrows),TPRS,NA,-0.05277639265075232,0.015079796366769538,391.030303030303,NA,NA,NA,0.30277916290480333
s(active_burrows),TPRS,NA,-0.05585435512647191,0.015450310956687082,395.09090909090907,NA,NA,NA,0.2997012004290837
s(active_burrows),TPRS,NA,-0.058946374071378975,0.01584048380713427,399.1515151515151,NA,NA,NA,0.29660918148417664
s(active_burrows),TPRS,NA,-0.06205007255337109,0.016245859809549863,403.2121212121212,NA,NA,NA,0.29350548300218454
s(active_burrows),TPRS,NA,-0.06516307364034479,0.01666148110592118,407.27272727272725,NA,NA,NA,0.29039248191521083
s(active_burrows),TPRS,NA,-0.06828300040019677,0.01708232870021967,411.3333333333333,NA,NA,NA,0.2872725551553589
s(active_burrows),TPRS,NA,-0.07140747590082384,0.017503796232868542,415.3939393939394,NA,NA,NA,0.28414807965473177
s(active_burrows),TPRS,NA,-0.07453414088958554,0.017922245659408063,419.45454545454544,NA,NA,NA,0.2810214146659701
s(active_burrows),TPRS,NA,-0.0776615291351627,0.018338308891609104,423.5151515151515,NA,NA,NA,0.27789402642039296
s(active_burrows),TPRS,NA,-0.08078946989238936,0.0187580542405179,427.57575757575756,NA,NA,NA,0.2747660856631663
s(active_burrows),TPRS,NA,-0.08391789409731033,0.01918837141228599,431.6363636363636,NA,NA,NA,0.2716376614582453
s(active_burrows),TPRS,NA,-0.08704673268596894,0.019635974707466284,435.6969696969697,NA,NA,NA,0.26850882286958666
s(active_burrows),TPRS,NA,-0.09017591659440875,0.020106878815947176,439.75757575757575,NA,NA,NA,0.26537963896114686
s(active_burrows),TPRS,NA,-0.09330537675867352,0.020606006436777898,443.8181818181818,NA,NA,NA,0.2622501787968821
s(active_burrows),TPRS,NA,-0.09643504411480734,0.021136924041158352,447.8787878787879,NA,NA,NA,0.25912051144074827
s(active_burrows),TPRS,NA,-0.09956484959885348,0.02170170180691592,451.93939393939394,NA,NA,NA,0.25599070595670215
s(active_burrows),TPRS,NA,-0.10269472414685649,0.022300889688138755,456,NA,NA,NA,0.25286083140869914
s(block),Random effect,NA,0.004730682670337423,0.011334350668622109,NA,1,NA,NA,0.36028623822589306
s(block),Random effect,NA,-0.007124872098228607,0.011652820262665628,NA,2,NA,NA,0.34843068345732703
s(block),Random effect,NA,0.013996334512494577,0.01121250475579017,NA,3,NA,NA,0.3695518900680502
s(block),Random effect,NA,-0.011602145084603352,0.011448340395188635,NA,4,NA,NA,0.3439534104709523
s(year),Random effect,NA,0.0017450554708814128,0.0047384063780238055,NA,NA,2022,NA,0.35730061102643706
s(year),Random effect,NA,-0.0017450554708809385,0.004738406378023803,NA,NA,2023,NA,0.3538105000846747
s(month),Random effect,NA,0.021094930937594878,0.015180000037872003,NA,NA,NA,August,0.3766504864931505
s(month),Random effect,NA,0.004892644459076913,0.0148453201206305,NA,NA,NA,July,0.3604482000146325
s(month),Random effect,NA,-0.025987575396671615,0.015150633507966077,NA,NA,NA,June,0.329567980158884
